,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
118,Volkswagen,2018.0,Caddy,Commercial,USED,Automatic,Front,Premium,6.0,87293.0,4,Commercial,3,2,30999.0,1.4,6,NSW
119,Honda,2013.0,Civic,Sedan,USED,Automatic,Front,Unleaded,6.7,154347.0,4,Sedan,4,5,15990.0,1.8,11,NSW
120,Jeep,2021.0,Compass,SUV,USED,Automatic,Front,Unleaded,7.9,20827.0,4,SUV,4,5,32888.0,2.4,3,NSW
123,Toyota,2010.0,Yaris,Hatchback,USED,Automatic,Front,Unleaded,6.5,147626.0,4,Hatchback,5,5,10995.0,1.3,14,NSW
124,Jeep,2014.0,Grand,SUV,USED,Automatic,4WD,Diesel,7.5,114424.0,6,SUV,4,5,29990.0,3.0,10,NSW
125,Mazda,2009.0,3,Hatchback,USED,Manual,Front,Unleaded,8.6,153020.0,4,Hatchback,5,5,13950.0,2.5,15,NSW
126,Ford,2016.0,Ranger,Ute / Tray,USED,Automatic,4WD,Diesel,9.0,98700.0,5,Ute / Tray,4,5,36999.0,3.2,8,NSW
128,Toyota,2013.0,86,Coupe,USED,Automatic,Rear,Premium,7.1,103706.0,4,Coupe,2,4,24990.0,2.0,11,NSW
129,Volkswagen,2013.0,Golf,Hatchback,USED,Automatic,Front,Premium,5.2,126532.0,4,Hatchback,5,5,13990.0,1.4,11,NSW
130,Mitsubishi,2013.0,Lancer,Hatchback,USED,Automatic,Front,Unleaded,7.3,73421.0,4,Hatchback,5,5,16990.0,2.0,11,NSW
131,Toyota,2009.0,Camry,Sedan,USED,Automatic,Front,Unleaded,9.9,155135.0,4,Sedan,4,5,10995.0,2.4,15,NSW
132,Hyundai,2013.0,I20,Hatchback,USED,Automatic,Front,Unleaded,6.4,123330.0,4,Hatchback,5,5,12990.0,1.4,11,NSW
133,Mitsubishi,2014.0,Lancer,Hatchback,USED,Automatic,Front,Unleaded,8.9,44249.0,4,Hatchback,5,5,18990.0,2.4,10,NSW
134,Mazda,2018.0,2,Hatchback,USED,Automatic,Front,Unleaded,4.9,27100.0,4,Hatchback,5,5,23999.0,1.5,6,NSW
135,Mazda,2009.0,3,Hatchback,USED,Automatic,Front,Unleaded,8.2,70661.0,4,Hatchback,5,5,14995.0,2.0,15,NSW
136,Mitsubishi,2014.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,9.3,215100.0,4,Ute / Tray,4,5,18995.0,2.5,10,NSW
137,Volkswagen,2014.0,Golf,Hatchback,USED,Automatic,Front,Premium,5.4,155036.0,4,Hatchback,5,5,14990.0,1.4,10,NSW
138,BMW,2012.0,M135I,Hatchback,USED,Automatic,Rear,Premium,7.5,67678.0,6,Hatchback,5,5,29950.0,3.0,12,NSW
139,Holden,2015.0,Commodore,Wagon,USED,Automatic,Rear,Unleaded,9.8,133934.0,6,Wagon,4,5,22999.0,3.6,9,NSW
140,Volkswagen,2008.0,Golf,Hatchback,USED,Automatic,Front,Premium,8.0,174915.0,4,Hatchback,5,5,14990.0,2.0,16,NSW
141,Holden,2014.0,Cruze,Sedan,USED,Automatic,Front,Unleaded,7.4,117000.0,4,Sedan,4,5,7888.0,1.8,10,NSW
142,Hyundai,2018.0,Imax,Wagon,USED,Automatic,Rear,Diesel,8.8,190176.0,4,Wagon,4,8,27990.0,2.5,6,NSW
143,Mitsubishi,2013.0,Triton,Ute / Tray,USED,Manual,4WD,Diesel,9.1,231675.0,4,Ute / Tray,4,5,19800.0,2.5,11,NSW
144,BMW,2021.0,330I,Sedan,USED,Automatic,Rear,Premium,6.4,23332.0,4,Sedan,4,5,67988.0,2.0,3,NSW
145,Volkswagen,2018.0,Golf,Wagon,USED,Automatic,Front,Premium,5.6,130647.0,4,Wagon,4,5,21880.0,1.4,6,NSW
146,Audi,2019.0,Q3,SUV,USED,Automatic,Front,Premium,7.2,47307.0,4,SUV,4,5,41888.0,1.4,5,NSW
149,Subaru,2016.0,Outback,SUV,USED,Automatic,AWD,Premium,7.3,74983.0,4,SUV,4,5,29990.0,2.5,8,NSW
150,Mazda,2007.0,6,Hatchback,USED,Manual,Front,Premium,8.8,102496.0,4,Hatchback,5,5,7920.0,2.3,17,NSW
151,Hyundai,2015.0,Accent,Hatchback,USED,Automatic,Front,Unleaded,6.4,84924.0,4,Hatchback,5,5,14999.0,1.6,9,NSW
152,Land,2013.0,Rover,SUV,USED,Automatic,4WD,Diesel,8.8,159558.0,6,SUV,4,5,38950.0,3.0,11,NSW
154,Ford,2013.0,Focus,Hatchback,USED,Automatic,Front,Unleaded,6.6,67590.0,4,Hatchback,5,5,12990.0,1.6,11,NSW
155,Kia,2017.0,Sportage,SUV,USED,Automatic,AWD,Unleaded,8.5,65502.0,4,SUV,4,5,29990.0,2.4,7,NSW
156,Porsche,2010.0,Cayenne,SUV,USED,Automatic,AWD,Premium,10.5,193271.0,8,SUV,4,5,29990.0,4.8,14,NSW
157,Porsche,2016.0,Cayman,Coupe,USED,Manual,Rear,Premium,10.3,23481.0,6,Coupe,2,2,214880.0,3.8,8,NSW
158,Ford,2007.0,Territory,SUV,USED,Automatic,AWD,Unleaded,12.2,173839.0,6,SUV,4,5,8950.0,4.0,17,NSW
160,Nissan,2016.0,Navara,Ute / Tray,USED,Automatic,4WD,Diesel,7.0,258936.0,4,Ute / Tray,4,5,21290.0,2.3,8,NSW
163,Toyota,2013.0,RAV4,SUV,USED,Automatic,AWD,Diesel,6.5,292134.0,4,SUV,4,5,14995.0,2.2,11,NSW
164,Toyota,2008.0,Hilux,Ute / Tray,USED,Automatic,4WD,Diesel,9.5,251000.0,4,Ute / Tray,4,5,21290.0,3.0,16,NSW
165,Mazda,2014.0,3,Hatchback,USED,Automatic,Front,Unleaded,5.8,130242.0,4,Hatchback,5,5,16388.0,2.0,10,NSW
166,Hyundai,2021.0,Venue,SUV,USED,Automatic,Front,Unleaded,7.2,35024.0,4,SUV,4,5,26990.0,1.6,3,NSW
167,BMW,2015.0,X1,SUV,USED,Automatic,AWD,Diesel,5.1,44145.0,4,SUV,4,5,32000.0,2.0,9,NSW
168,BMW,2021.0,330I,Sedan,USED,Automatic,Rear,Premium,6.4,29567.0,4,Sedan,4,5,67988.0,2.0,3,NSW
169,Mazda,2007.0,6,Hatchback,USED,Automatic,Front,Premium,8.9,223898.0,4,Hatchback,5,5,7600.0,2.3,17,NSW
